age,income_level,education_level,financial_literacy,risk_tolerance,app_usage_frequency,time_reviewing_recs,follow_through_rate,override_frequency,savings_rate_change,investment_returns,budget_adherence,debt_reduction,net_worth_growth,trust_score,perceived_usefulness,perceived_accuracy,rec_type,risk_level,confidence_score,user_satisfaction,continued_usage,explanation_quality,transparency_rating,privacy_concerns,financial_outcomes
28,4,4,1,0.5336025467268785,6,1.3248421504648284,0.4369958856656208,0.9680658120507588,-0.1870226215811252,1.889378764946617,0.2980662011700041,0.7744856031197909,0.1011502080262339,87,3,2,conservative,2,0.9638176611881804,3,1,1,3,1,3
28,5,2,4,0.6079050927934446,2,1.4521779263042944,0.593560935378786,0.0665647279142228,0.0634870554908088,-1.1102259430059984,0.3204012861402149,0.13443342736955,0.2180441130106899,35,5,2,conservative,1,0.5389808744501206,2,1,2,5,1,1
41,1,5,5,0.7648832615421283,6,13.925059737009608,0.0730815620270149,0.6483180074520956,0.0129167503805817,-5.695916289459398,0.1642868432724092,0.4677206159711509,-0.0457016587600395,71,3,3,conservative,2,0.2878795033348446,3,0,3,2,4,4
53,4,3,2,0.8129857387160935,7,3.166560387548447,0.6223432646172461,0.074105422574867,-0.1586939964499806,-5.456634341939281,0.7831614309236972,0.605896815179483,0.2909752736816049,79,2,5,aggressive,1,0.1202709631286068,3,1,5,4,1,1
57,5,1,3,0.7181230762264944,2,7.373519493710791,0.9811778367622944,0.3754689284665004,-0.1309904492214552,2.9831445302545667,0.1224978619659892,0.4283518005688462,0.2857412936143946,53,1,1,conservative,4,0.7035283401815304,2,1,3,1,1,5
41,4,2,1,0.9555236959549348,1,20.992778310986346,0.1901076497837276,0.8038145451934468,0.0271897189264322,7.870394724845887,0.6349066591531628,0.0271066523362331,-0.0345084168483316,54,4,5,balanced,4,0.6448560434297268,3,1,3,5,5,3
20,2,4,3,0.0182325826763616,5,48.35255509520896,0.7925951162883833,0.4334722327556344,-0.0814569545946846,-7.5815378449119475,0.1238460267058174,0.7835015025879088,0.0197692499212426,84,4,4,aggressive,5,0.3739387136037746,5,1,5,1,2,2
39,2,3,3,0.1957779856835461,6,34.75086995878875,0.9078987937796194,0.9971823539029504,0.1753262914605264,18.18705767075497,0.0705356375929565,0.0105132245416534,-0.0599380009972932,25,2,3,aggressive,2,0.9509413518658344,5,1,4,1,5,5
19,5,3,4,0.0075628749781421,4,31.24739583142857,0.9437015928202208,0.5590592849466022,0.1274960917936203,12.654008523355875,0.9094295036858764,0.761889894377484,0.0086870395592718,67,4,3,conservative,2,0.0222028129878503,4,0,5,4,3,3
41,4,1,5,0.647474714154603,1,18.315840569279175,0.9601356044054472,0.3211621526359535,0.1934268826054652,7.598717548509882,0.1901287663187056,0.8933044937881227,0.2263823157660826,62,3,4,conservative,1,0.3037238516318258,5,0,1,2,4,3
61,1,4,1,0.8980305489499869,5,55.97346944653616,0.5214596387214719,0.2201113259047531,-0.0961316644198344,14.853160128169726,0.8212501545597043,0.4328399210571723,0.0513262428661037,55,4,1,balanced,4,0.9210694862995814,1,1,2,3,2,5
47,5,5,3,0.2434822965762992,4,24.42388743299431,0.9773079079915036,0.3505205342861618,0.1878894531191908,-7.594397295636601,0.5446308711071358,0.5355424730977982,-0.0646412131412966,46,2,4,aggressive,1,0.3209354383194404,1,1,1,5,3,4
55,2,3,1,0.9270345447963066,3,6.138473240950518,0.7573102071344389,0.3725332737595508,-0.0275064520833768,4.305166331993732,0.0778565196087696,0.4769833926176537,0.0368902099115618,24,2,1,conservative,4,0.2522528338551704,1,0,1,1,3,5
19,2,1,2,0.0602673902895608,4,37.40692445095028,0.1616714362369619,0.0687136777239609,-0.0609924818744981,8.902793805849903,0.9554481914380676,0.3892086186234388,0.292553333696512,98,3,2,balanced,1,0.5342204099312473,2,1,3,1,1,5
38,5,5,4,0.9344360268055144,2,7.716465215119483,0.47690010646797,0.3695741994267731,-0.1798601892122587,14.859587183548676,0.2469611669918925,0.8874245353703603,0.1518734381036811,46,4,3,conservative,4,0.8238017499205379,5,1,2,5,3,1
50,4,4,2,0.3516226872396344,2,21.368165425299832,0.718331175372004,0.4642385197392249,-0.1788938968561589,13.504086801478032,0.8596453453526065,0.8939335106699905,0.0664643785624631,22,4,1,aggressive,1,0.103146760878361,1,1,3,4,1,2
29,2,3,1,0.1014208284492165,3,30.937304384350725,0.2473403158190833,0.7227377522388047,0.0768045023786618,-1.6879225085980103,0.1688100057845641,0.3358163646415345,-0.033384594601092,11,1,5,conservative,4,0.943020709645736,4,1,4,3,5,5
39,4,5,1,0.4858717591863256,1,52.57912895642537,0.6406151835488874,0.656729484721608,-0.0168284022263888,18.22640508677613,0.8539428821418529,0.615069754014698,0.294470718913478,48,5,5,aggressive,1,0.795072881181164,2,1,3,2,4,4
61,2,5,5,0.2567765677205079,5,30.119248240067,0.6666004790466192,0.7087656552291542,-0.1093913495855577,-6.269624757073889,0.0132288129052939,0.926907562145864,0.2283396037052515,8,2,3,conservative,2,0.1812502555515519,4,1,1,5,5,3
42,2,5,3,0.2848729019619228,4,42.43326719586819,0.1626997438085659,0.008363681876857,0.045588122530093,16.254008558634563,0.5117804565694807,0.9620584989413516,0.0125909209803677,39,1,4,aggressive,5,0.7120079611981627,5,1,5,1,1,1
66,3,3,3,0.3072899649262866,2,59.57619350094515,0.5650853124527563,0.217667399580536,-0.0988567526999555,19.12820748813856,0.7694425794215568,0.5089590404220475,-0.0719725217115242,35,2,4,balanced,1,0.3849587226375571,3,1,1,5,5,2
44,2,3,2,0.8030258978326634,1,8.757858073980916,0.7716269109786077,0.6616842883998565,0.031052701737769,-4.6853943033212335,0.9347955174927832,0.4528248052843268,-0.0773497770489767,49,1,1,aggressive,5,0.4022946780763187,4,0,3,2,2,4
59,1,2,4,0.5391612766752545,3,17.20916000565165,0.4988956645359419,0.4839893681797471,-0.0563165012069238,11.661981926113558,0.909202136206487,0.2786943159285258,-0.0518487401977864,46,5,4,balanced,2,0.7832900924388664,3,0,1,4,5,1
45,5,4,3,0.3113076991560036,7,24.279988460261137,0.0121031167761074,0.0053134756683459,0.1294208906447276,-8.791434436660046,0.8196248695476449,0.95887187319041,0.1323074334457686,38,1,3,aggressive,2,0.9627848079807322,2,1,5,5,1,4
33,5,1,5,0.6103337833109184,6,25.88786253379105,0.0090384690792921,0.8044946424318223,0.1282784643067117,2.162684754174649,0.8881913496613041,0.1428143044728673,0.271505368482197,8,2,1,balanced,4,0.1266558728471939,4,1,2,2,3,4
32,4,5,2,0.7161506742231936,7,25.2502434406672,0.3570293439700122,0.7728095732903374,-0.0090598407510394,5.48849897593022,0.1992196858370765,0.579829576047725,0.0986973712023938,54,4,2,conservative,5,0.4206302368788194,4,1,5,2,3,3
64,2,2,2,0.2726240007335337,7,54.54904915083674,0.926194068431782,0.5484191629935626,-0.0596723562659937,7.419356777289021,0.2841842957117287,0.2825502675186389,0.2371781929824788,37,2,4,aggressive,3,0.4809416080843035,2,1,2,4,5,3
68,1,1,5,0.4135491015253515,2,43.12792602354453,0.2286767796036087,0.0664633257762721,-0.0549760813763622,18.078117447456783,0.2889685249210585,0.2790082903477966,0.0783546479439231,91,3,4,conservative,4,0.3763118169549976,2,0,1,2,3,3
61,4,2,4,0.1218860933369475,3,36.86640763135152,0.6343636888716871,0.7665150495325846,0.1222858102672871,10.16752061882584,0.3770539310016988,0.4049685873761884,0.18343341830713,92,3,1,balanced,5,0.363189123716225,1,0,4,5,5,4
69,3,3,5,0.1811493495346803,4,19.252990353904146,0.2220758706933205,0.583713587731364,-0.0687282068809552,4.43833853657711,0.3933206703851887,0.9987929358156544,0.1927490949146003,40,3,5,aggressive,1,0.0522686675615965,5,0,5,3,5,1
20,4,5,4,0.6811178539649828,7,49.60363266905639,0.3216699896595486,0.7819599771579592,-0.1163762505172616,14.290251087976678,0.5445553246546755,0.054966306839822,-0.0304145176386645,34,3,4,aggressive,1,0.6855386205626233,4,0,4,1,3,5
54,4,1,5,0.1814383476956269,7,57.34857017761435,0.848042089601484,0.7517469923958404,-0.1661246632498773,18.515984628632268,0.1598797633664413,0.5785418182035315,0.0444864235903247,96,5,3,conservative,2,0.4362144171200454,4,1,3,1,3,5
68,2,1,5,0.5251633836670602,5,49.45069867046337,0.7288614422699469,0.8030020719578371,-0.0133227516462366,-9.338015539531275,0.6912466637859893,0.0825721580352771,0.1549208626152095,79,4,4,aggressive,3,0.1947938026439267,2,1,1,2,4,4
24,3,1,1,0.7090462617224327,2,1.0923412062969011,0.0953992773132106,0.5180080664046248,-0.0071471604320632,19.47563816768116,0.1675665393045065,0.1545208299905189,-0.0717213567262535,17,4,2,aggressive,1,0.8160335023020684,2,1,4,1,2,4
38,4,1,2,0.1068769230947438,2,38.547680840821016,0.4287020209864336,0.140324518193515,0.1363634841611629,-7.41603582808959,0.3103084821045475,0.4395629417728987,0.0446160751051826,33,2,4,conservative,5,0.8025607481516279,5,0,5,4,1,4
26,1,1,5,0.5673122196289035,4,4.016987505083943,0.0291697636452644,0.6711574733796887,-0.1115045214215744,14.43160337806284,0.503345130606154,0.5104601313464413,0.113919786512477,47,1,5,aggressive,5,0.4863916280888938,2,1,2,3,4,3
56,1,2,5,0.2565627837013637,6,16.19882599968959,0.480890146603009,0.6204737850519706,-0.04760349053264,-1.5899574234576246,0.7964405615234773,0.258792408364524,0.2984897972178555,52,2,4,conservative,1,0.2984506611477605,3,1,3,1,5,3
35,5,5,3,0.9629268752375798,1,4.51195732051853,0.6624340117010681,0.7422531871990872,0.1233622955574764,-6.034610267383847,0.7394692332387273,0.3164571308744162,0.0898134250489763,80,2,1,conservative,5,0.6380927257964524,3,0,3,2,2,3
21,3,3,2,0.4835456467199247,5,36.62393172401388,0.1185026235981515,0.1698810060507353,0.1294494442995894,3.195669191415046,0.6455343564105223,0.086967020255933,0.2264227028457294,93,2,4,conservative,5,0.288152135777403,3,0,1,4,3,4
42,3,3,3,0.8059925497751581,2,41.5088048960638,0.2888849389091656,0.1949751999002892,-0.0461555696084927,9.318697383428407,0.1557732605801701,0.3032197838442505,0.0728269140266471,9,2,5,conservative,2,0.236007930323712,3,0,5,1,2,2
31,5,3,2,0.5502265421562618,5,7.754770645888402,0.3978366255021569,0.8904095172193285,-0.0163503906853276,1.4285553507042508,0.5470453456155777,0.966558439380544,0.2185562890478835,33,4,1,conservative,3,0.7305146540263266,5,0,4,5,5,2
67,4,3,3,0.0434125328548191,2,23.64649409965379,0.9195310246560496,0.7499777984520708,-0.0786856436602868,-8.36303775151903,0.0874465017998854,0.9447073816724816,0.1381659206480433,60,1,3,balanced,2,0.0403252397209507,4,0,5,2,1,5
26,3,2,5,0.6331513755940223,5,27.91795402837698,0.993255015422964,0.9082284887003228,0.1730219513677248,7.983834189761499,0.3773631767966507,0.334878290136985,0.2546381766009593,93,2,1,balanced,3,0.0947684710345939,3,1,2,2,2,2
43,1,4,5,0.951403342206657,3,22.77412828389408,0.0449112989956158,0.7587153211639207,-0.1525424937033679,17.07209828332024,0.4135165302899591,0.5708539362787616,0.0643770209400439,77,4,2,conservative,5,0.0067881740235897,2,1,1,1,3,5
19,1,5,1,0.6016118201463312,7,8.14047502862639,0.761007923495392,0.5971553059903019,0.173499769200588,1.4964609784175504,0.0398114394457538,0.9095953911109445,0.1417217679285915,21,2,1,balanced,3,0.1529431864754261,3,0,2,4,1,2
37,2,1,3,0.8191888594267902,2,25.71791962106105,0.3717240664023432,0.6541327370278737,0.0735465807341372,-3.510016671075189,0.2739880994699718,0.0061838226408966,0.1520074722475309,58,3,3,balanced,5,0.0689900087104594,5,1,2,5,1,2
45,3,4,4,0.8842064633484078,5,45.31950482069667,0.39245818622948,0.88912792394001,0.0126288610746924,3.277320377984461,0.9556494672664894,0.8106835703375919,0.0669531767201893,85,2,4,aggressive,5,0.9958023677799186,2,1,4,2,1,1
64,4,3,1,0.2280797719489324,1,5.189452207462073,0.7542649733470227,0.5788067545119405,-0.1869363756862016,-8.549118668536574,0.9536326078296896,0.948369552788919,-0.0422751825250073,69,2,1,conservative,2,0.2888099699540896,3,1,2,4,2,1
24,5,4,3,0.2120448399082266,3,5.730620830832304,0.9184264321454086,0.6323913243283874,-0.0097615232711966,14.614627534408244,0.3523270542525393,0.091325734333557,-0.0625762372350657,10,5,1,balanced,2,0.1492680126692472,4,1,4,3,5,5
61,5,5,3,0.6109809888509917,3,21.93150621832307,0.9509285945025484,0.1564767160036005,-0.036900757998907,14.790224328505602,0.043100108948324,0.161447686032921,-0.0933313797601467,6,3,1,aggressive,4,0.2409962579959179,2,0,4,3,5,5
25,4,1,1,0.4110284698067047,1,56.56181698551658,0.5771225860383208,0.4739212201161027,-0.1355124752099509,7.640013902888853,0.1790949393281815,0.9607463027713554,0.2494137056980858,13,1,1,aggressive,1,0.9361255715401346,2,1,2,3,5,2
64,2,1,5,0.8398613028667203,5,40.44578615665193,0.3571211593005028,0.716397111958099,0.0625638414002627,0.5930866681516846,0.3922177934335401,0.5375401436403463,-0.0054100351045221,65,2,3,conservative,4,0.5201602230243957,4,1,4,3,2,4
52,5,5,3,0.9000231233980112,4,41.041527443681325,0.7875490858587793,0.2709426983163654,0.1884603629473143,13.9935009333735,0.9477796979692298,0.0141966344717237,-0.0153973002872927,20,1,5,conservative,4,0.3648180963078569,2,1,3,5,4,5
31,3,5,5,0.3534213793027181,1,22.353279459434034,0.2510013832623002,0.2022541805245349,0.02487552442581,6.640610743651017,0.1411990635371849,0.2576319987635291,0.1944141601704262,57,3,5,aggressive,3,0.8733914579092193,3,0,5,2,5,1
34,2,3,1,0.236870558974482,5,36.02598668130377,0.5640740288335178,0.3138268082244155,0.0859013105775783,14.777969256500487,0.7635158436682122,0.4499436742688596,0.0280064452349567,46,2,1,conservative,5,0.3949902705490324,2,1,2,1,1,4
53,3,1,5,0.7805255152438618,1,1.597739857636859,0.3585784615248731,0.2415006279928334,-0.1726198189735933,8.94376377749062,0.108682539374692,0.6929089110247677,0.1024178769647346,8,5,3,conservative,5,0.3350085699576958,3,0,2,3,3,4
67,1,4,2,0.2748060355481361,1,38.52966673816299,0.6566310737078761,0.2149126370363958,-0.0329332016732021,13.53216419638392,0.9812575773912768,0.7331603781367996,-0.0349955738810174,10,4,3,aggressive,5,0.2072825225497355,4,0,3,1,2,1
57,2,2,4,0.8226143185136784,2,54.88392990699797,0.2403989128935069,0.4248508428680869,-0.1534566059342016,7.956889796532799,0.381616499109135,0.995421512925456,0.2838982885847877,73,5,1,aggressive,1,0.3777968239094115,1,0,4,2,5,4
21,5,2,3,0.4237382536487628,5,37.141834632344334,0.1915929457348257,0.907838513883534,0.0451183342146041,2.424232046469987,0.775234538899056,0.287511199383759,0.2406325600068949,67,5,2,conservative,3,0.316684356016926,4,0,3,3,5,5
19,2,5,4,0.6675498992914705,4,52.54821701451436,0.9182390866754372,0.5070596467387183,0.1753928632856618,18.738375797784126,0.3425910828111318,0.5382201018684752,0.2455158491860013,11,4,1,balanced,3,0.677303959298141,3,1,4,4,3,4
23,2,3,5,0.0955353138346681,7,43.714410272499535,0.1018036829495369,0.187920380815323,0.0647110929886554,6.233414746365341,0.6276688771588087,0.533323547859605,0.062709499428802,12,4,2,conservative,5,0.2895827046707271,5,0,3,5,2,3
59,2,2,3,0.623859324676573,2,8.112946567817724,0.5059579077349317,0.076971669380874,-0.1692787806742314,8.152685556216152,0.1920160847400367,0.4056452594472375,0.2049444854828691,10,4,1,balanced,4,0.5771997464225614,4,0,5,3,2,1
21,2,1,5,0.4517676787372291,1,54.24474512986466,0.2208527829630089,0.6961561451379252,-0.0581335180059668,-3.385370817557522,0.1460210192969625,0.1691618938424202,-0.0424495378440879,25,2,2,aggressive,1,0.0658921650319727,5,0,3,5,3,3
46,3,5,2,0.5866084631754741,7,4.920186816990718,0.0389299633256674,0.3827987644363878,0.0202653517763406,8.769523682818296,0.9380641395681312,0.9774565631838426,-0.0965523989632878,49,1,2,balanced,4,0.1912891566965143,5,0,5,3,2,5
35,1,4,1,0.1680142077448634,6,32.504080880318064,0.0360188182914263,0.8218309465853593,-0.0387168975466991,7.148229484488315,0.9176472779044336,0.8533171866665861,-0.0920108269687887,49,1,1,aggressive,2,0.4074052716113487,3,0,1,4,2,3
43,4,5,3,0.7368737449441821,7,9.386090303814004,0.1752217721058273,0.6595107686407702,0.1334576041900689,-4.454848061589251,0.8874689402128824,0.4983330282942372,0.1346406949618241,89,4,2,conservative,3,0.9369492539086954,3,1,5,3,1,5
61,2,4,2,0.8627970775432285,1,1.69069003312334,0.8667703545060003,0.7962414505413685,0.1258684018839956,-8.212387079405689,0.6254334501665935,0.6032454226840298,0.0821579620991763,11,5,4,conservative,3,0.3772519857156954,1,0,1,4,4,4
51,5,5,2,0.2167398000907756,1,25.9000213475307,0.2824787439770266,0.2719460394184487,0.0447324080412885,8.130779591443133,0.8082682112162782,0.2272610535596623,0.1072061395634079,62,3,5,aggressive,4,0.6640741211998341,2,1,5,2,1,2
27,2,5,3,0.0957145555201617,5,18.40740175159522,0.9504591705752956,0.6923589224610581,-0.0506168219469179,12.910768080509616,0.0690369369113749,0.5437870703917469,-0.0970147438331122,36,4,3,aggressive,1,0.2550872224213981,4,1,2,2,2,1
53,5,5,5,0.0236385860463363,5,29.67402913405858,0.5816222929891935,0.2640619846937188,-0.0978654504947023,5.702041127660246,0.3347890418906791,0.6949701331214758,0.0690746478629703,39,5,2,aggressive,3,0.1270335759732317,3,0,2,2,5,1
31,3,4,2,0.641971500443266,2,35.0547933173385,0.4366141897687661,0.9390684794502916,-0.1576502727147483,-3.196821240410629,0.3137031247571562,0.5151670283865888,0.1872272644803443,53,5,2,conservative,4,0.0585366000800501,4,1,5,1,2,4
48,5,4,4,0.6070940360887808,4,3.580605266227894,0.5800888346694546,0.6363742815333744,-0.0580409266053783,9.995659300791049,0.6356453219526133,0.9902851705849413,0.0770774807869743,90,2,3,conservative,1,0.3054134985427513,5,1,4,2,5,1
65,4,5,2,0.54669741271407,2,8.257194412300993,0.5166983852262678,0.3245118001753421,-0.0347309931169121,-7.596828201711933,0.3559577734706405,0.6113416562477262,0.1928876825248889,78,2,2,balanced,4,0.1576610267969079,2,1,5,3,2,3
32,1,2,5,0.2319470961159754,3,33.9599013905751,0.7587762537573252,0.2695118622922726,0.0703291700416294,3.2550111440586385,0.1485067816436808,0.370973712592169,-0.006792414241266,56,1,3,aggressive,1,0.1740104480161242,1,0,4,1,3,1
25,5,3,5,0.3909059959055146,1,21.24687383718684,0.2824960659728522,0.1909265850716435,0.0632639297190293,-5.098997248047395,0.5964670754135437,0.7721520276158381,0.2252568017926902,1,1,1,balanced,5,0.76075930838695,4,0,1,1,2,5
31,5,3,4,0.594476335186173,7,44.02123576541743,0.3530503916003024,0.6946409588937278,-0.1719567441434972,-4.466228468203499,0.8143839206690815,0.170462511581642,0.1353724961813809,56,3,4,conservative,1,0.0158380709448742,2,0,1,2,1,1
40,1,3,2,0.4967668588591694,6,39.48520726692444,0.8940943025332507,0.2187156129979273,-0.0418962738275368,-3.93118152525389,0.3821234944599732,0.3845158137062665,-0.0156947602280375,4,3,4,balanced,2,0.5578101257354344,1,0,1,4,5,1
57,4,4,5,0.9877855202148872,1,50.8906574164045,0.9464565131504056,0.5953032659274891,-0.1272884531130552,1.601211711319337,0.1322687150984817,0.3469589503775858,-0.0053118096584668,30,3,5,balanced,5,0.3794613805934648,4,0,4,4,1,2
38,2,4,3,0.1364397525567331,1,41.857076773484295,0.8925582274864745,0.2646350269253573,-0.1372749178732777,-8.465493831388072,0.196688197312823,0.4318070951077772,0.1512121858278148,12,3,2,conservative,4,0.5065499999085472,2,0,2,4,1,1
33,5,2,1,0.6951445540475938,2,26.36593356601874,0.4194479939573136,0.6619689447938686,0.1309208598948983,1.9338032278729465,0.2374833051693839,0.7817798259287263,0.2319758372849773,35,5,5,conservative,5,0.5628302372146029,3,0,1,3,2,1
62,1,3,1,0.4043187681042921,6,40.70503072127151,0.7803655030068817,0.8149397285405392,-0.183233913313497,5.351223413441025,0.2998975929945362,0.4841730321634074,0.066251112811662,77,5,1,aggressive,5,0.3133676944572782,4,1,4,2,2,2
35,3,3,1,0.4281996149256147,6,17.247489281069694,0.4763357333010988,0.7780252431446532,-0.0323268496391514,4.498828548989756,0.6427950705063091,0.7940144502659627,0.0033201716510368,52,1,4,balanced,4,0.2951088601842853,2,1,2,3,4,5
64,1,5,2,0.7175977656581762,6,19.072496427914547,0.4975398521461022,0.7608513309307817,-0.1327185376933927,1.4835230120912168,0.600945484537719,0.5764889031398659,0.2468046427642401,31,2,1,conservative,4,0.7334018493349057,1,0,4,2,3,3
41,3,4,4,0.6924361513243696,2,47.55012443532681,0.2046801090572839,0.187722405692252,0.1517320862713896,15.174398242122574,0.6960798615670392,0.3420694346575553,0.1677073167003339,87,2,1,conservative,2,0.8712769881211572,2,1,5,1,4,1
43,4,3,5,0.9912559937021884,1,27.33875146769335,0.5911303032585165,0.0883849469845187,0.022816205310014,-5.640199227384876,0.3625019845315131,0.8099787436834724,0.0792341949132306,68,4,2,balanced,4,0.1925816324585278,3,0,2,2,1,1
42,2,2,3,0.1283942894541252,2,48.1044400905828,0.1861358977533479,0.6989488284873856,-0.1074477454492607,5.17090231344122,0.8239976518799783,0.2382896705530915,0.0951600781117207,52,5,1,conservative,3,0.0976187605351489,4,0,4,5,3,3
62,1,2,3,0.1041096493841663,5,49.522920046428425,0.3315646990671937,0.3683472137943513,0.0009709148665505,-8.138757491303371,0.2040876611557602,0.2243829797997955,-0.0182974128254414,80,3,4,aggressive,3,0.8977958063920259,4,0,5,1,2,4
58,5,3,2,0.7243388171287412,5,51.59617792201574,0.8550302016199351,0.4323462264033473,0.0925945438812463,-7.865329633662707,0.4690407475181539,0.5045029240548358,0.1507210520259375,7,3,5,aggressive,2,0.3498954636473986,4,1,5,1,5,3
46,4,4,1,0.5783869170064091,2,55.081478914631234,0.2070758092108552,0.031149092793391,0.1832472035677735,7.215975490312889,0.8009387215414303,0.2608492459620889,0.0434970042171554,22,4,4,balanced,1,0.5513173906628142,3,0,4,1,1,2
32,1,2,2,0.2741606665598058,6,26.42812801028448,0.0711582851734328,0.2595764492750492,-0.1118215983018324,6.980552746634629,0.1801586477326192,0.0090870349512163,0.2982580706697397,93,2,2,aggressive,1,0.3595431445200034,1,0,4,1,1,3
62,5,5,4,0.0794193689889866,1,19.81314228094719,0.0690075926128163,0.033676403874464,0.154472708851738,16.34100538533371,0.1098631137407829,0.6482975272988015,0.0920734061047551,75,3,4,conservative,3,0.1258023363460513,4,0,5,4,1,2
18,1,2,4,0.0856582495964305,2,35.34972604905272,0.940784520503108,0.8791857726012476,0.1737216456669961,6.736210269802196,0.8836839676879897,0.511093821472398,0.0943542424758452,56,2,3,conservative,4,0.589331644947728,1,0,1,4,3,4
42,3,1,5,0.8941908746641183,2,22.899172982820023,0.5069204379618346,0.2433966832185304,0.1665682178128265,18.793730612145502,0.3429296627591959,0.4455178144931612,0.1263407149642687,97,4,5,conservative,2,0.5251408517696297,2,1,3,4,5,5
24,1,1,5,0.1918673247187429,2,36.46337584121375,0.4094120718170183,0.557337169573008,0.0541657427447639,-8.539154548002108,0.683870124909032,0.9669685146183152,0.2667024012474986,58,2,3,conservative,1,0.2029935591911972,1,0,2,1,4,1
26,1,4,4,0.3233715621155207,3,42.62956589598565,0.8108785810079184,0.0389793206611304,0.0519282617738831,-7.059769456577768,0.0253486042639384,0.5711991839629137,0.2203272399439001,93,2,3,balanced,1,0.4518690446522778,1,1,1,1,3,5
41,1,3,4,0.226656402226988,5,41.61589609103608,0.835825927910516,0.6668473913056581,-0.0387157467264708,-8.678024152888558,0.6900468884094496,0.8634315777893845,0.0804520279191365,64,2,2,aggressive,5,0.7969475040156458,4,1,1,5,5,2
18,4,4,4,0.3549963058319373,7,23.09862033418716,0.3321910331156046,0.3230273457540938,0.1009591529215152,-4.441694489993799,0.3161013115469705,0.1394502362051601,0.1874797063891184,12,3,1,aggressive,3,0.5904261031078913,5,0,3,5,5,3
61,1,4,2,0.0694238427460933,6,10.844751900226417,0.6936180574737952,0.8979191869576658,0.0125176073403727,6.238103328250343,0.0557408535874417,0.5692064631294277,0.1344941995123046,7,1,3,conservative,4,0.0969173270669948,5,0,2,2,2,3
25,5,4,4,0.5190597909082704,4,26.401230969270244,0.7711228158518866,0.8881181889340358,0.0709752284913177,9.36716544282284,0.609812761548117,0.8679796267309029,0.0969468194804995,55,5,4,balanced,2,0.5480214972291351,3,1,4,1,2,4
41,3,4,3,0.0676125635922149,7,9.413054500832615,0.6546506868659545,0.3252906183617478,-0.0286168384604818,-8.632445261539935,0.2408038160731732,0.583105757279898,-0.0230736908862597,62,2,1,conservative,1,0.7027382992895869,3,1,1,2,3,4
28,3,5,1,0.8003565078223616,6,53.51572507584469,0.1515950748000993,0.900960895690468,0.0925985856172556,18.37912669536798,0.38680724205188,0.7180141781270015,0.0855745053819563,90,2,4,conservative,5,0.7927034057807514,5,1,4,1,4,3
